================ Training Loss (Sat Jul 31 10:12:54 2021) ================
================ Training Loss (Sat Jul 31 10:13:39 2021) ================
================ Training Loss (Sat Jul 31 10:14:37 2021) ================
================ Training Loss (Sat Jul 31 10:15:42 2021) ================
================ Training Loss (Sat Jul 31 10:19:43 2021) ================
================ Training Loss (Sat Jul 31 10:20:26 2021) ================
================ Training Loss (Sat Jul 31 10:23:46 2021) ================
================ Training Loss (Sat Jul 31 10:24:52 2021) ================
================ Training Loss (Sat Jul 31 10:26:00 2021) ================
================ Training Loss (Sat Jul 31 10:27:26 2021) ================
================ Training Loss (Sat Jul 31 10:31:02 2021) ================
================ Training Loss (Sat Jul 31 10:38:26 2021) ================
================ Training Loss (Sat Jul 31 10:42:33 2021) ================
================ Training Loss (Sat Jul 31 10:46:18 2021) ================
================ Training Loss (Sat Jul 31 10:49:00 2021) ================
================ Training Loss (Sat Jul 31 10:50:17 2021) ================
================ Training Loss (Sat Jul 31 10:50:52 2021) ================
================ Training Loss (Sat Jul 31 10:52:51 2021) ================
(epoch: 1, iters: 80, time: 0.137, data: 9.528) loss: 3.211 
(epoch: 1, iters: 160, time: 0.133, data: 4.143) loss: 3.175 
(epoch: 1, iters: 240, time: 0.136, data: 4.793) loss: 3.131 
(epoch: 1, iters: 320, time: 0.140, data: 2.989) loss: 3.139 
(epoch: 1, iters: 400, time: 0.138, data: 7.581) loss: 3.087 
(epoch: 1, iters: 480, time: 0.129, data: 4.668) loss: 2.964 
(epoch: 1, iters: 560, time: 0.138, data: 1.385) loss: 2.889 
(epoch: 1, iters: 640, time: 0.137, data: 2.572) loss: 2.838 
(epoch: 1, iters: 720, time: 0.132, data: 2.934) loss: 2.704 
(epoch: 1, iters: 800, time: 0.122, data: 2.576) loss: 2.653 
================ Training Loss (Sat Jul 31 11:00:31 2021) ================
(epoch: 1, iters: 80, time: 0.128, data: 9.383) loss: 3.188 
(epoch: 1, iters: 160, time: 0.135, data: 4.618) loss: 3.171 
(epoch: 1, iters: 240, time: 0.147, data: 3.825) loss: 3.113 
(epoch: 1, iters: 320, time: 0.134, data: 2.629) loss: 3.082 
(epoch: 1, iters: 400, time: 0.168, data: 3.260) loss: 3.045 
(epoch: 1, iters: 480, time: 0.137, data: 9.640) loss: 2.970 
(epoch: 1, iters: 560, time: 0.140, data: 2.902) loss: 2.905 
(epoch: 1, iters: 640, time: 0.144, data: 2.270) loss: 2.831 
(epoch: 1, iters: 720, time: 0.145, data: 2.300) loss: 2.719 
(epoch: 1, iters: 800, time: 0.135, data: 3.433) loss: 2.671 
(epoch: 2, iters: 80, time: 0.140, data: 13.153) loss: 2.470 
(epoch: 2, iters: 160, time: 0.145, data: 8.027) loss: 2.395 
(epoch: 2, iters: 240, time: 0.137, data: 2.369) loss: 2.393 
(epoch: 2, iters: 320, time: 0.138, data: 2.556) loss: 2.205 
(epoch: 2, iters: 400, time: 0.135, data: 4.247) loss: 2.270 
(epoch: 2, iters: 480, time: 0.131, data: 3.665) loss: 2.180 
